fg,Cq,Lab
10000000,18.58473237,MSU
10000000,18.48248222,MSU
10000000,18.43616458,MSU
1000000,21.52291084,MSU
1000000,21.40377941,MSU
1000000,21.75831919,MSU
100000,25.1466343,MSU
100000,25.08219555,MSU
100000,25.16831039,MSU
10000,29.01462978,MSU
10000,28.55586795,MSU
10000,28.55464148,MSU
1000,32.38715429,MSU
1000,31.99416186,MSU
1000,32.42820157,MSU
100,35.00879687,MSU
100,35.27335273,MSU
100,35.34980594,MSU
10,37.2496039,MSU
10,38.37227133,MSU
10000000,17.87,3
10000000,17.67,3
10000000,17.69,3
1000000,21.64,3
1000000,21.64,3
1000000,21.61,3
100000,25.65,3
100000,24.85,3
100000,25.37,3
10000,35.3,3
10000,31.41,3
10000,31.42,3
1000,35.91,3
1000,35.92,3
1000,35.54,3
100,36.47,3
100,37.74,3
100,36.61,3
10,37.46,3
10,36.6,3
10000000,25.25178737,5
10000000,21.10814859,5
10000000,24.36342593,5
1000000,27.07954436,5
1000000,23.76312103,5
1000000,26.58298023,5
100000,32.62048784,5
100000,28.28727008,5
100000,31.83704325,5
10000,38.25719165,5
10000,36.74974831,5
10000,38.09699074,5
10000000,19.2093516,1
10000000,18.94331763,1
10000000,19.37471437,1
1000000,22.69756754,1
1000000,23.01502164,1
1000000,23.10943823,1
100000,26.47095047,1
100000,26.48033338,1
100000,26.63050189,1
10000,30.60782622,1
10000,30.64291339,1
10000,30.31322706,1
1000,34.08708589,1
1000,34.03068425,1
1000,34.59742453,1
100,36.07163631,1
100,35.05712082,1
100,35.38280989,1
10,38.33688248,1
10,37.66535671,1
10,38.65001896,1
10000000,18.2655984,2
10000000,18.18290615,2
10000000,18.28018578,2
1000000,21.42929555,2
1000000,21.42793621,2
1000000,21.38144701,2
100000,24.79532063,2
100000,24.58116127,2
100000,24.43967458,2
10000,28.70288923,2
10000,28.24066225,2
10000,27.85126641,2
10000000,18.40933609,4
10000000,17.88965797,4
10000000,17.84869957,4
1000000,21.59541321,4
1000000,21.77634239,4
1000000,21.71790886,4
100000,25.42452812,4
100000,25.40441513,4
100000,25.45246887,4
10000,29.04982185,4
10000,29.00912857,4
10000,29.1588726,4
1000,32.77614975,4
1000,32.8092308,4
1000,33.0085144,4
100,36.25768661,4
100,36.73045349,4
100,37.05554199,4
10,39.53409958,4
10,38.59673309,4
